category_name,name,organization_name,street,city,state,zip,county,service_area_name,service_area_counties,service_area_town_names,phone,website_url,facebook_url,publish_from,publish_until,is_created_by_admin,is_approved,youtube_identifier,description
food,Food Vouchers,WIC,1340 State Route 9,Lake George,NY ,12845,Warren,,,,518-761-6425,https://www.warrencountyny.gov/wic/,https://www.facebook.com/Warren-County-New-York-113824060252510/,2020-08-10,,TRUE,TRUE,,"WIC offers food vouchers to moms, dads, foster parents, guardians, pregnant women, grandparents and step-parents who are income-eligible. Open Monday through Friday. Call to verify hours. "
food,Food Vouchers,WIC,383 Broadway,Fort Edward,NY ,12828,Washington,,,,518-746-2460,https://washingtoncountyny.gov/179/WIC-Program,https://www.facebook.com/washingtoncountynywic/,2020-08-10,,TRUE,TRUE,,"WIC offers food vouchers to moms, dads, foster parents, guardians, pregnant women, grandparents and step-parents who are income-eligible. Open Monday through Friday from 8:30 a.m. to 4:30 p.m."
food,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street,Glens Falls,NY,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,Offers emergency food assistance. Families regardless of residency with limited food resources are invited to visit the Glens Falls Neighborhood Opportunity Center weekly to access food available. Open Monday through Friday from 8 a.m to 4:30 p.m.
clothing,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street,Glens Falls,NY ,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,Families regardless of residency with limited resources are invited to visit weekly to access the available free clothing. Open Monday through Friday 8 a.m. to 4:30 p.m.
household items,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street,Glens Falls,NY,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,Families regardless of residency with limited resources are invited to visit weekly to access the available free household items. Open Monday through Friday from 8 a.m. to 4:30 p.m.
case management,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street,Glens Falls,NY,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,"Offers case management to address issues of education, employment or family functioning. Open Monday through Friday from 8 a.m. to 4:30 p.m."
rent,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street ,Glens Falls,NY,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,"Offers assistance to families in crisis, when funds are available. Payments made to prevent eviction. Open Monday through Friday from 8 a.m. to 4:30 p.m."
utilities ,Neighborhood Opportunity Center,Warren-Hamilton Counties Community Action Agency,190 Maple Street ,Glens Falls ,NY,12801,Warren,,,,518-793-0636,http://wahacaa.org/,https://www.facebook.com/wahccaeo/,2020-08-10,,TRUE,TRUE,,"Offers assistance to families in crisis, when funds are available. Payments made to prevent utilities termination. Also, offers furnace testing, repair or replacement, insulation, caulking, weather-stripping and other energy conservation and/or housing repair measures. Residents must be income eligible but do not need to own the home. Open Monday through Friday from 8 a.m. to 4:30 p.m."
food,Food Pantry,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,Offers food to those in crisis or facing food insecurity by providing three days of food for each person in an eligible family. Open Monday through Thursday 9 a.m. to 3 p.m.
clothing,Feet First Program,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,Feet First helps provide eligible children with new shoes for the school year. Applications will be done on the phone from 8/10-8/13 starting at 9 a.m. Appointments for pick-up will be made between 8/17-8/21. Open Monday through Friday from 8:30 a.m. to 4:30 p.m.
case management,Advocacy,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,Offers casework for referrals and networking with other community agencies. Open Monday through Friday from 8:30 a.m. to 4:30 p.m
baby ,Infant Needs Program,Family Service Association of Glens Falls,150 Warren Street,Glens Falls,NY,12801,,,"Warren, Washington, Saratoga",,518-793-0797,https://www.fsaglensfalls.org/,https://www.facebook.com/www.familyserviceassoc.org/,2020-08-10,,TRUE,TRUE,,"Provides supplies for newborns and their mothers who need help with diapers, formula and food. Open Monday through Friday from 8:30 a.m. to 4:30 p.m."
